utc_time,utc_time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
5,22,999558462.4348092,67284733.49723129,2600457720.327779,146290463.35850462,11819509.292844642,131285436.10809964,167843.76363665744,1058010.463606689,24511981.02616016,92268555.49464475,169652630.78026894,89901482.08062959,72547176.32571872,3296292.901017635,24534443.652624905,9381965.674136404,6128146.481899741,38843970.11633505,21567509.084095385,2202076.854356717,10997966.887990002,6971505.733638226
5,23,1009947859.8761064,66248693.13413952,2599744758.214687,147013262.55168527,11293571.134247148,134431275.47557408,171637.1833736706,1376407.8462027656,24636201.668300863,93666409.17860432,164018788.79562265,83327204.67817868,67912837.37789537,3530040.21599283,26460456.176557727,9297084.22599001,6183173.9911420345,40238408.7180024,20552566.856982786,2448278.9458278343,11060268.97152535,7574943.100523824
5,24,989965832.9849352,64660767.334237136,2556490597.9689555,150219374.5582376,11253225.951389782,134170445.6855416,173367.05440676832,1039561.2291018527,23561339.23206975,90496836.72439557,171168421.52376297,79764102.66229482,69774856.01288918,3223426.79435385,23870104.738884434,9344105.761010418,6176448.552514239,39407465.720176436,20466919.588717178,2131973.903450508,11152672.20876916,7531469.972350401
5,25,992575642.0467403,64591476.335508704,2563371427.7713284,152943742.7715678,10539200.721878354,141806136.42768556,202255.5355369556,1011769.9189720342,25332639.64679602,91739709.89278333,163276889.49149096,79935505.72725978,66537129.34997693,3296748.04480897,25973467.84829318,9925464.856766658,6095548.904070948,38351129.90918042,20114599.957280915,1877115.1735314305,10587755.901079869,7056440.602625833
5,26,998277823.3766354,64673810.61680401,2572863098.0626507,153021160.78427762,10869175.232819222,135251315.41608444,465120.5503975063,1200086.2765339168,23585743.629359495,92380883.86039019,169294656.8487231,81263823.4417055,73293226.34461156,3443661.597298163,25975244.27930588,10314977.943162063,5919852.35242945,38582115.42929824,19671561.259226337,1989307.942618473,10565518.864599554,7381746.187232938
5,27,1013573356.2892501,64832687.10247887,2556342293.670127,150640423.6622483,10232836.907691713,135679791.9385932,453789.9727143679,1005325.1133872281,24020035.405625835,96365992.3466391,169911581.54613057,83654792.934509,70238368.95444691,3605050.052787387,24806843.397813726,8930418.645732267,6026036.08514874,38085899.80952296,19919667.141201276,1865712.9380585083,10522154.393410614,7087428.602359927
5,28,1021928695.7176049,65956346.58281807,2552738759.53449,151206355.53109038,10888173.697819985,133701918.33489229,119165.09467914452,1090633.1286947776,24152439.33545605,88212875.11347301,166194866.6361999,80401833.70736006,68104974.58960047,3632719.1938661514,25875153.827233646,9721782.735237772,6043427.158822104,38366623.766499706,19764266.48944413,2087620.7443749509,10453779.205096621,7199394.977359569
5,29,1010924900.5569534,66415145.77691292,2548517257.833648,149794053.97698292,11067527.05261261,138630928.6594316,439212.7225029345,1057202.005109307,23792642.49506378,90454934.35132632,160769895.8622898,82811440.9719678,65589714.93333423,3618170.6370259067,24758432.6207916,9375795.723788407,6397167.8097332865,37456929.757246226,19795968.893538106,2088230.8444709359,10742911.089412663,7342286.888713715
5,30,1025545582.670807,64298272.10238627,2544304060.7831225,148165060.26746035,11575206.123672515,135939753.6152529,342073.0948279927,1035866.9176029497,24979115.4929434,92145169.36329488,160666657.76138312,78607400.66980949,64127546.09384628,2941146.7647271147,24884094.886562645,9930366.431842847,6180360.554048265,38243214.94007515,19242375.30815743,2346667.5098612565,10632140.176965492,6753880.095432137
5,31,1011887547.8967944,62729365.56221973,2555730788.449184,149191164.63688618,11408596.941116933,135560055.0451581,416461.59300106025,996020.4459188384,22277456.229477596,88219369.74767555,158498452.77846658,80657218.95255852,65660363.85609916,3183102.0075040413,24993295.084025156,9470658.489087114,6019099.722051188,38103741.21904909,19915880.264873043,2056565.1652918316,10785644.330241585,7156716.771122055
6,1,1011606209.8192354,62785485.5019259,2564301687.9266663,146155592.719693,10357800.88477652,134066463.33648445,110903.3963046609,985248.762357888,23287500.943992235,90492868.01127201,167652692.3223338,77358981.02320497,66852625.68679964,3231871.4521187926,25786875.83836136,9819542.727040973,5758586.241377798,38125076.511012234,19594095.083371595,2059621.4684960484,10577660.091840008,7046369.9724502005
6,2,1009036801.5598973,61789395.93033263,2538566314.639334,147288491.91863093,11210894.319152858,139610880.37889582,119173.14104514131,1021142.7792256266,22761458.263776984,96555299.92421746,160359288.67424643,77604187.96793297,62800275.33474203,3384774.886685199,24670261.24630844,9303089.018201638,6394107.525608486,37073051.32088163,19290805.96056255,1905940.021469247,11036939.65030039,7008380.85831506
6,3,1021067847.2652133,62099819.072985955,2551897828.654403,147792368.89995766,10437164.952289028,134732743.91804835,249615.77512738176,1029269.3071384808,22708523.536387805,94961304.78051326,156068637.4793877,75011492.39438091,62761947.43800739,3203948.252844385,23901019.740873132,9813981.064930862,6139126.327607567,37659805.93038797,19230540.224027634,2325468.3261885387,10579401.731474211,6880588.972161071
6,4,1019017557.2225006,60655420.624813095,2566844857.0158815,144688798.62019858,11806570.818663726,138592535.65606996,203665.91283445185,965524.0696994548,22530411.1266249,95201994.25512217,146734811.48387197,75553059.06925358,55739393.18267998,3257048.567319093,24445550.507933795,9739229.4263189,6350291.474545571,38011624.79820698,18741083.13248046,1947256.9881268383,10572727.204376016,6748560.000196205
6,5,1014916339.9954257,59915751.251344986,2566712490.2509227,143988800.848613,10428699.142649822,134920860.62868288,92333.67873078436,1142043.570206417,21931828.531512786,93088323.02994901,151476821.09904832,76610441.01474465,62297056.17984643,3255179.9685976887,25002967.121195193,9300427.868381027,6329559.024104446,37152996.219404,18959323.875535063,1920179.0829972578,10755134.491147658,6600007.819213228
6,6,1018296819.0163516,60816966.51130302,2565583838.3412347,148049391.50797498,10163953.311660448,140867700.79061168,111233.55932943906,967604.936028351,22277873.031238135,101548542.79723296,158688522.07436016,76846866.39669195,59410681.67857578,3362813.676061957,24139239.92804267,9963587.406821828,5658968.963030086,36577710.2335956,19416373.77327038,1773890.7797649058,10755188.17848418,6678260.051901294
